index,ticker,name,cik,sector,sub_industry,industry_group
0,MMM,3M,66740,Industrials,Industrial Conglomerates,Capital Goods
1,AOS,A. O. Smith,91142,Industrials,Building Products,Capital Goods
2,ABT,Abbott Laboratories,1800,Health Care,Health Care Equipment,Health Care Equipment & Services
3,ABBV,AbbVie,1551152,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
4,ACN,Accenture,1467373,Information Technology,IT Consulting & Other Services,Software & Services
5,ADBE,Adobe Inc.,796343,Information Technology,Application Software,Software & Services
6,AMD,Advanced Micro Devices,2488,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
7,AES,AES Corporation,874761,Utilities,Independent Power Producers & Energy Traders,Utilities
8,AFL,Aflac,4977,Financials,Life & Health Insurance,Insurance
9,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
10,APD,Air Products,2969,Materials,Industrial Gases,Materials
11,ABNB,Airbnb,1559720,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
12,AKAM,Akamai Technologies,1086222,Information Technology,Internet Services & Infrastructure,Software & Services
13,ALB,Albemarle Corporation,915913,Materials,Specialty Chemicals,Materials
14,ARE,Alexandria Real Estate Equities,1035443,Real Estate,Office REITs,Equity Real Estate Investment Trusts (REITs)
15,ALGN,Align Technology,1097149,Health Care,Health Care Supplies,Health Care Equipment & Services
16,ALLE,Allegion,1579241,Industrials,Building Products,Capital Goods
17,LNT,Alliant Energy,352541,Utilities,Electric Utilities,Utilities
18,ALL,Allstate,899051,Financials,Property & Casualty Insurance,Insurance
19,GOOGL,Alphabet Inc. (Class A),1652044,Communication Services,Interactive Media & Services,Media & Entertainment
20,GOOG,Alphabet Inc. (Class C),1652044,Communication Services,Interactive Media & Services,Media & Entertainment
21,MO,Altria,764180,Consumer Staples,Tobacco,"Food, Beverage & Tobacco"
22,AMZN,Amazon,1018724,Consumer Discretionary,Broadline Retail,Consumer Discretionary Distribution & Retail
23,AMCR,Amcor,1748790,Materials,Paper & Plastic Packaging Products & Materials,Materials
24,AEE,Ameren,1002910,Utilities,Multi-Utilities,Utilities
25,AEP,American Electric Power,4904,Utilities,Electric Utilities,Utilities
26,AXP,American Express,4962,Financials,Consumer Finance,Financial Services
27,AIG,American International Group,5272,Financials,Multi-line Insurance,Insurance
28,AMT,American Tower,1053507,Real Estate,Telecom Tower REITs,Equity Real Estate Investment Trusts (REITs)
29,AWK,American Water Works,1410636,Utilities,Water Utilities,Utilities
30,AMP,Ameriprise Financial,820027,Financials,Asset Management & Custody Banks,Financial Services
