doc_id,ticker,label,sim_item1,sim_item7,sim_item2,score_struct,sim_dyn,r_doc,same_sector,sample_weight
train1_0_MMM,MMM,1,-1.0,-1.0,-1.0,0.0,0.04498708656180204,0.0,1,1.0
train1_0_MMM,EXPD,0,-1.0,-1.0,-1.0,0.0,0.023688719171833607,0.0,1,1.0
train1_0_MMM,DAL,0,-1.0,-1.0,-1.0,0.0,0.0543435208438423,0.0,1,1.0
train1_0_MMM,HUBB,0,-1.0,-1.0,-1.0,0.0,0.047028338230035376,0.0,1,1.0
train1_1_MMM,MMM,1,-1.0,-1.0,-1.0,0.0,0.027738226848061723,0.0,1,1.0
train1_1_MMM,CARR,0,-1.0,-1.0,-1.0,0.0,0.04921684313725927,0.0,1,1.0
train1_1_MMM,HON,0,-1.0,-1.0,-1.0,0.0,0.0648550152604031,0.0,1,1.0
train1_1_MMM,GD,0,-1.0,-1.0,-1.0,0.0,0.00964993513337118,0.0,1,1.0
train1_2_MMM,MMM,1,-1.0,-1.0,-1.0,0.0,0.06495289388054083,0.9999990000010001,1,1.0
train1_2_MMM,FTV,0,-1.0,-1.0,-1.0,0.0,0.05630506214979786,0.9999990000010001,1,1.0
train1_2_MMM,BLDR,0,-1.0,-1.0,-1.0,0.0,0.033951413946904034,0.9999990000010001,1,1.0
train1_2_MMM,FAST,0,-1.0,-1.0,-1.0,0.0,0.003272777997989651,0.9999990000010001,1,1.0
train1_3_MMM,MMM,1,-1.0,-1.0,-1.0,0.0,0.09747557030479907,0.9999990000010001,1,1.0
train1_3_MMM,MAS,0,-1.0,-1.0,-1.0,0.0,0.0022117649797175343,0.9999990000010001,1,1.0
train1_3_MMM,GEV,0,-1.0,-1.0,-1.0,0.0,0.0016179385502245514,0.9999990000010001,1,1.0
train1_3_MMM,EXPD,0,-1.0,-1.0,-1.0,0.0,0.04658030885822743,0.9999990000010001,1,1.0
train1_4_MMM,MMM,1,-1.0,-1.0,-1.0,0.0,0.048826507660044975,0.0,1,1.0
train1_4_MMM,J,0,-1.0,-1.0,-1.0,0.0,0.07054169938167697,0.0,1,1.0
train1_4_MMM,CARR,0,-1.0,-1.0,-1.0,0.0,0.03821116892370396,0.0,1,1.0
train1_4_MMM,CMI,0,-1.0,-1.0,-1.0,0.0,0.07905485115978357,0.0,1,1.0
train1_5_MMM,MMM,1,-1.0,-1.0,-1.0,0.0,0.04278836515007688,0.0,1,1.0
train1_5_MMM,SWK,0,-1.0,-1.0,-1.0,0.0,0.059441747158175,0.0,1,1.0
train1_5_MMM,WM,0,-1.0,-1.0,-1.0,0.0,0.09639405156501708,0.0,1,1.0
train1_5_MMM,CMI,0,-1.0,-1.0,-1.0,0.0,0.09155561587188625,0.0,1,1.0
train1_6_MMM,MMM,1,-1.0,-1.0,-1.0,0.0,0.07026995258966812,0.0,1,1.0
train1_6_MMM,CMI,0,-1.0,-1.0,-1.0,0.0,0.06028851744923497,0.0,1,1.0
train1_6_MMM,NDSN,0,-1.0,-1.0,-1.0,0.0,0.05462262377292666,0.0,1,1.0
